title,imdb_url,budget,genres,trailer_url
The Shawshank Redemption,https://www.imdb.com/title/tt0111161/?ref_=chttp_t_1,25-50 million USD,['Drama'],https://imdb-video.media-imdb.com/vi3877612057/1434659607842-pgv4ql-1616202333253.mp4?Expires=1713547241&Signature=p7BmE3uA3YsP3WdIL-mS9z6lByxnkCgoQBViDEyZnp9ig2ySxKN4anLbkBxoys1Gv0tEGbRUOx5ID7n7MWrtKnuoEfxw1W-DiP8lGcgutsNF4YLjirpPd6HIHZ4Sm~ZYFaarC3DT8wumpOw4fV1C81jlL~8jfobkWtI8ehECdkKIpZNIeqT~o3jQjuZguPT1dxqy3oD3LIicY9eayhWlhvhV~lZHTtH~Fj1E9IoduEfaZHRB~WqG0u4kxVy1f4fcSvzQYyuAms0e6oJUD0gMVImgoGt2SvM8-syxpc5vsmm5a6j3GEPeXISXktT3ZjjuLyrPF-coi7H-nzi7-zf~Ng__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
The Godfather,https://www.imdb.com/title/tt0068646/?ref_=chttp_t_2,1-10 million USD,"['Crime', 'Drama']",https://imdb-video.media-imdb.com/vi1348706585/1434659607842-pgv4ql-1616202346191.mp4?Expires=1713548114&Signature=PLV5yAFhrhnMj0JyPPAFH2GU0zUkPXzOewaIfmp1Cy1tcSG93lYnEhEY~pHChGCue6c8ghN6sqpF7~Z8t8NLaulXo4Wjk64CKv15rtHO6~se5E6K1Q6MiHeabFYvxWlmp~R03hl0Gj170DWOLeQjLI6yjgIqopyrMeyObKp0QrWC5Rl07L3-CE7lu65TlmsmhOyAp895mkpIB4TLs3FY50abZe-fQuDfp2UFOb6n3jN7Y0SwMlkyCr2HPO56bEAOnbjhewrB4zP2bQgqhynKGbcsK2UFUvksRhXm~b3eAEhOt48Emvztuvf03Ms67iXlrvOAzUL5jWmBrkz-fsbqng__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
The Dark Knight,https://www.imdb.com/title/tt0468569/?ref_=chttp_t_3,50 million USD or more,"['Action', 'Crime', 'Drama']",https://imdb-video.media-imdb.com/vi324468761/1434659607842-pgv4ql-1563712918369.mp4?Expires=1713548064&Signature=GdYWdfA4SH5yc7yd88IaCFbll7qCtgbZMc8rZ4qk5abpXqs5gLRwUpSPYE5FmFr3lFD1BmqDBw0i7dIoYzPlGIEELKm760JnA0K7rMqnfiIYDhHNSHZE1ZVRCxA~F8N~ZyOEE~A2BdxTkeJHtKTsXU-VM1t9mb1X9CUYdpTeJE1CCXKEebQl2JXvtt1flVBl0m-dkif0CKx-QTpswzP021QLLi2vz1DNEh97JwAVHaC0FRyfKXX-coWU6v7d70q0Ed729CrQrByksQPKwqBvecR09~~HOI6FdE1MEZY4sTEzfx1Nn0DJhajdcbhlVFJ36gphc-cDBJuoKzu~fq-Q~g__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
The Godfather Part II,https://www.imdb.com/title/tt0071562/?ref_=chttp_t_4,10-25 million USD,"['Crime', 'Drama']",https://imdb-video.media-imdb.com/vi696162841/1434659607842-pgv4ql-1564159556047.mp4?Expires=1713548122&Signature=EjFHIEJFzs6bwdoOHZ6zCilAc8pvFDAsFlWij-n6dOPNWJiVyfpwHcd7NIzSI7~IgYEu9Z6ytpqIK9GAODKWRQOPWuT9J32GWc46a6Gdx4AUta34q2EiDQeeBIDcQvpkIqw62R770v5agrmXGu6xn8291JPkjmYTKVRYQdGlQwiFEBVlxnOv4lYe3nUe1tdKRRw37r4QB3d7QC0YCS1B5f4spMQZaOSc5NVAMqI96SNU7Rpmg-JNBOEm8BziWGV5z8CfZ0zr4MqxRc0xoRdyOsmiUiiVZIgZeZGUS5oU3Do~MS0XcP3sD1NKVHWjVM4ahJY-hITXVR44nV7X2R6tfg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
12 Angry Men,https://www.imdb.com/title/tt0050083/?ref_=chttp_t_5,under 1 million USD,"['Crime', 'Drama']",No video found
Schindler's List,https://www.imdb.com/title/tt0108052/?ref_=chttp_t_6,10-25 million USD,"['Biography', 'Drama', 'History']",https://imdb-video.media-imdb.com/vi1158527769/1434659607842-pgv4ql-1564710232825.mp4?Expires=1713547395&Signature=ck1RbPcDIMSk7joquELNV~iQLo4Vqqf1lh4UekM3BaZxq8ReD99Uz8jyhj4OOHeXgFo2~nb6jehJURQUB6wPXxjP7At60IbbWgLijDzLFExpKisMHcDDcJB-Q540hDgwH6PyhGWs1F3HMyEMTZ8cFA5RlbA9WmL0SB~e4lPTiWdJYcPxXHRR41Rx-xtY8e39TRlnifRp7CXkWguJ7-CuG8uNFFnNSs0feiKw0yIDU0jN46DJ4WINES~qeK~R589TFv5jkmKBuvGNHghX1u7k~I26xtH-K3-lg5aCie5RuzOM8x73JhmB4ON~kxsFzw2llUXH4UUEm~MMgiZVIVKRHA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
The Lord of the Rings: The Return of the King,https://www.imdb.com/title/tt0167260/?ref_=chttp_t_7,50 million USD or more,"['Action', 'Adventure', 'Drama']",No video found
Pulp Fiction,https://www.imdb.com/title/tt0110912/?ref_=chttp_t_8,1-10 million USD,"['Crime', 'Drama']",https://imdb-video.media-imdb.com/vi2620371481/1434659607842-pgv4ql-1450205469045.mp4?Expires=1713548592&Signature=ohmbiA-H47B~02M0G8FftkOYf0WPW6mppGY-27yDNE73TeDuMeLJ9mHKFgovGMIJ1HdxP~TA5y-lnZB9cYRRJ227A9sAAYbBcgg3ih~7UwxzgEAkselaRdz0C5ZQgQJypMdhIrtQOVn4RA3Kh27Jt~VyQJEpOzrwoF6FxPF~wt8lnM84jYsWPhhwYjCXAPEFwY7wEdEaOMGx8OHlgN~z0oiyHZsgydXYkH9h9gOdQW8OU9VLrfJiWvKpjX5bCkcR9u8MJI5qd6BfdJ2D5eDwNwHfWqpf6pmfzrv0XvyIVW8wJIS4cyZsgT94qSQ9ac1vRgAKoWzpC8clLmljKpcvCA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/?ref_=chttp_t_9,50 million USD or more,"['Action', 'Adventure', 'Drama']",https://imdb-video.media-imdb.com/vi684573465/1434659607842-pgv4ql-1640006590845.mp4?Expires=1713548670&Signature=rbLWrsdqI24cc4dt9xIXBBEV0aXRNBCsTTD1Tt-dNt1ij6PK9I2HTbKx8NNz7iaUfvAbX1eKVCcCHbQpRznmer0nfrcJVJNWhH4doCMIlhx4Xf0E5iyT2gSJvvTtOyK5FSqZEflrndL8a9ttEfM-n7shhWLgP4nIYfMg~CuYEz1zyYPM7C6mxfxNhjyAdUlCOuAUindFINOoUyM~zMp9Iuju3w8enKFhWITbHlJdaUVYCW80aFeh9Ex2PO649E~0-9W~SfP9xVDoibusByPiLzj7kcGRWJL5LMhRBVtJKyNdrmPcyjLLVZ2hsGfgLW3K~KzLaXWs9HcwoXKNOrjLSQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
"The Good, the Bad and the Ugly",https://www.imdb.com/title/tt0060196/?ref_=chttp_t_10,1-10 million USD,"['Adventure', 'Western']",https://imdb-video.media-imdb.com/vi3416964889/1434659607842-pgv4ql-1568221418682.mp4?Expires=1713547946&Signature=nMP~mTQzZfKM5NNjCaAXzCZ8pUNbX7cznKF4OkMB0qOXhA8ivyAiE7ThFGbLW-F95NL0qLJyYQO3bLnWXv0toz~rCvpUzAHwa-~WTlrYrpzZ0czFGgN6Vg2n-w~CJhgAqfma0hZs~feH8iXfybcbYyPpyzYAHxEKaKuAT~OgMfztDskVoiFe1wEIKxVIdrcxcD7KlDw8DBuIoLPJgRoxbMjKuXboqVMcigTm0e14FNIikA-dLPrjP9O8SG3pw8wfGwC3IwqcBm8NizbikGTHm9zNMjf7uUWQJ4hutje5s1sJfawE8tj1UJg~pO4LSqmJN5XNNZBMSPaMCePaNgR1bQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
